@relation risco_credito

@attribute rangeIdade {'até 25', '26 a 40', '41 a 60', 'acima de 60'}
@attribute numeroDependentes numeric
 @attribute estadoCivil {'Solteiro', 'Casado', 'Viuvo', 'Divorciado'}
@attribute escolaridade {'Ensino Médio Incompleto', 'Sem Escolaridade', 'Ensino Fundamental Completo', 'Ensino Fundamental Incompleto', 'Ensino Médio Completo', 'Superior Completo', 'Técnico', 'Superior Incompleto', 'Pós-graduação', 'Mestrado', 'Doutorado', 'Pós-doutorado'}
@attribute tempoEnderecoAnos numeric
@attribute nivelInadimplenciaEstado numeric
@attribute tipoContratoResidencia {'Locatario', 'Proprietario', 'Ocupante sem custo'}
@attribute tipoEmprego {'Estagio', 'CLT', 'Autonomo', 'PJ'}
@attribute tempoEmpregoAtual numeric
@attribute salarioLiquidoMensal numeric
@attribute montanteInvestimentos numeric
@attribute montanteBens numeric
@attribute saldo numeric
@attribute restanteMensal numeric
@attribute estaInadimplente {0,1}
@attribute valorParcelaAtiva numeric
@attribute mesesAtrasado numeric
@attribute valorCreditoRestanteTotal numeric
@attribute score numeric

@data'acima de 60',1,'Solteiro','Sem Escolaridade',59,43,'Locatario','CLT',0,1518.00,0.00,49610.00,20424.00,0.00,0,0.00,0,0.00,601
'acima de 60',4,'Solteiro','Sem Escolaridade',27,50,'Locatario','CLT',32,3188.00,0.00,37997.00,27353.00,-12110.00,0,0.00,0,0.00,645
'acima de 60',1,'Viuvo','Doutorado',72,41,'Proprietario','Autonomo',35,2526.00,0.00,103895.00,74404.00,-51600.00,1,320066.82,30,322590.00,463
'acima de 60',4,'Casado','Ensino Médio Incompleto',73,36,'Proprietario','PJ',15,2158.00,0.00,97287.00,30171.00,11886.00,0,0.00,0,0.00,776
'41 a 60',0,'Solteiro','Sem Escolaridade',15,47,'Locatario','CLT',7,1562.00,0.00,47524.00,43519.00,10164.00,1,396.45,57,32075.74,468
'26 a 40',0,'Solteiro','Sem Escolaridade',13,36,'Locatario','CLT',15,12819.00,205161.00,442084.00,341142.00,78895.00,1,12256.34,63,553264.75,747
'41 a 60',4,'Solteiro','Sem Escolaridade',16,51,'Locatario','CLT',35,2697.00,0.00,69308.00,22853.00,10177.00,0,0.00,0,0.00,603
'41 a 60',4,'Solteiro','Sem Escolaridade',52,56,'Locatario','CLT',3,1943.00,0.00,124572.00,71512.00,-35642.00,0,11548.34,0,761364.44,405
'41 a 60',4,'Solteiro','Sem Escolaridade',8,54,'Locatario','CLT',35,1608.00,0.00,16990.00,3970.00,275.00,0,3781.93,0,311491.24,299
'41 a 60',2,'Solteiro','Sem Escolaridade',40,49,'Locatario','CLT',40,2701.00,0.00,71252.00,51699.00,10243.00,0,716.23,0,59520.00,630
'acima de 60',2,'Viuvo','Técnico',69,36,'Proprietario','Autonomo',53,10600.00,411367.00,350973.00,166420.00,-565850.00,0,0.00,0,0.00,828
'41 a 60',0,'Casado','Pós-graduação',37,37,'Locatario','Autonomo',17,2989.00,0.00,107723.00,76928.00,0.00,0,0.00,0,0.00,723
'acima de 60',4,'Solteiro','Sem Escolaridade',74,41,'Locatario','CLT',56,1518.00,180476.00,311171.00,165336.00,-4309.00,1,12856.26,31,869441.09,472
'acima de 60',0,'Casado','Ensino Médio Completo',72,59,'Proprietario','Autonomo',17,2168.00,0.00,32342.00,13131.00,0.00,0,0.00,0,0.00,624
'41 a 60',2,'Solteiro','Sem Escolaridade',22,44,'Locatario','CLT',37,1951.00,0.00,47917.00,477.00,0.00,0,0.00,0,0.00,421
'acima de 60',1,'Solteiro','Sem Escolaridade',28,49,'Locatario','CLT',47,1518.00,0.00,60920.00,39694.00,3893.00,0,0.00,0,0.00,723
'acima de 60',4,'Solteiro','Sem Escolaridade',46,46,'Locatario','CLT',30,4041.00,298391.00,379840.00,91892.00,0.00,0,0.00,0,0.00,775
'até 25',1,'Solteiro','Sem Escolaridade',16,47,'Locatario','CLT',1,1518.00,0.00,59980.00,37884.00,0.00,1,358.62,20,14088.43,344
'41 a 60',1,'Solteiro','Sem Escolaridade',53,49,'Locatario','CLT',39,1706.00,0.00,55400.00,36405.00,0.00,0,17486.75,0,694552.83,433
'acima de 60',2,'Solteiro','Sem Escolaridade',71,41,'Locatario','CLT',8,2332.00,0.00,115921.00,57233.00,0.00,0,2099.38,0,53390.36,537
'até 25',0,'Viuvo','Ensino Fundamental Completo',20,54,'Locatario','CLT',2,1518.00,0.00,19125.00,10190.00,4390.00,1,356.04,6,11580.78,408
'acima de 60',2,'Solteiro','Sem Escolaridade',66,51,'Locatario','CLT',43,1846.00,0.00,35387.00,14002.00,2389.00,0,0.00,0,0.00,620
'acima de 60',4,'Solteiro','Sem Escolaridade',5,41,'Locatario','CLT',31,9699.00,596692.00,955518.00,465899.00,-69534.00,1,253507.69,44,512866.67,561
'acima de 60',0,'Solteiro','Sem Escolaridade',76,43,'Locatario','CLT',58,12706.00,691.00,594766.00,508562.00,0.00,1,143746.05,20,172234.63,562
'26 a 40',3,'Solteiro','Sem Escolaridade',38,41,'Locatario','CLT',16,1518.00,0.00,53431.00,33219.00,7156.00,0,0.00,0,0.00,713
'41 a 60',3,'Solteiro','Ensino Médio Completo',33,47,'Locatario','Autonomo',21,3366.00,0.00,78605.00,51997.00,18581.00,0,962.95,0,19838.46,700
'acima de 60',0,'Casado','Mestrado',72,50,'Proprietario','CLT',7,2138.00,0.00,49495.00,15721.00,-62481.00,0,443.77,0,22433.33,712
'26 a 40',3,'Solteiro','Sem Escolaridade',25,56,'Locatario','CLT',22,4784.00,210662.00,178236.00,88141.00,0.00,0,0.00,0,0.00,736
'41 a 60',2,'Solteiro','Sem Escolaridade',43,44,'Locatario','CLT',22,1937.00,0.00,146804.00,77167.00,21308.00,0,0.00,0,0.00,681
'acima de 60',0,'Solteiro','Sem Escolaridade',18,36,'Locatario','CLT',50,9717.00,166329.00,292653.00,258635.00,9426.00,1,3252.68,21,79439.47,747
'41 a 60',4,'Solteiro','Sem Escolaridade',47,42,'Locatario','CLT',28,1974.00,0.00,87413.00,84198.00,0.00,0,0.00,0,0.00,585
'acima de 60',0,'Viuvo','Superior Completo',71,62,'Proprietario','Autonomo',23,16813.00,230930.00,432963.00,365983.00,167075.00,0,6165.44,0,291971.43,779
'até 25',2,'Solteiro','Sem Escolaridade',20,41,'Locatario','CLT',0,1518.00,0.00,32178.00,13417.00,-64493.00,0,0.00,0,0.00,441
'41 a 60',1,'Solteiro','Sem Escolaridade',28,42,'Locatario','CLT',28,2199.00,0.00,98923.00,22445.00,1604.00,0,0.00,0,0.00,656
'acima de 60',4,'Solteiro','Sem Escolaridade',30,41,'Locatario','CLT',56,8524.00,29943.00,44570.00,27244.00,0.00,0,4273.91,0,49000.00,566
'acima de 60',1,'Viuvo','Ensino Médio Incompleto',2,56,'Locatario','PJ',42,2344.00,231109.00,859376.00,473583.00,143950.00,0,0.00,0,0.00,656
'acima de 60',4,'Solteiro','Sem Escolaridade',70,56,'Locatario','CLT',24,2488.00,125412.00,444019.00,217277.00,0.00,0,27.55,0,1306.20,661
'acima de 60',4,'Solteiro','Sem Escolaridade',58,46,'Locatario','CLT',29,1587.00,0.00,74096.00,54567.00,31136.00,1,2137.14,34,69323.81,510
'acima de 60',1,'Solteiro','Sem Escolaridade',84,51,'Locatario','CLT',42,1638.00,0.00,57587.00,34502.00,25713.00,0,0.00,0,0.00,684
'41 a 60',0,'Solteiro','Pós-graduação',13,47,'Locatario','Autonomo',33,9048.00,340740.00,306296.00,215170.00,74264.00,0,782.56,0,38084.62,810
'41 a 60',3,'Solteiro','Sem Escolaridade',41,48,'Locatario','CLT',33,2891.00,7046.00,925230.00,251970.00,58787.00,0,0.00,0,0.00,670
'acima de 60',4,'Viuvo','Técnico',86,49,'Locatario','CLT',59,1518.00,0.00,99214.00,35627.00,0.00,1,1142.67,76,98072.21,441
'acima de 60',4,'Solteiro','Sem Escolaridade',46,46,'Locatario','CLT',25,1518.00,0.00,116527.00,61165.00,22959.00,0,17090.15,0,960118.18,615
'41 a 60',3,'Solteiro','Ensino Médio Incompleto',8,54,'Locatario','PJ',34,1518.00,214753.00,893590.00,634447.00,0.00,0,0.00,0,0.00,542
'26 a 40',3,'Solteiro','Sem Escolaridade',37,51,'Locatario','CLT',12,1938.00,0.00,73142.00,3924.00,543.00,0,1580.10,0,13932.26,463
'acima de 60',4,'Solteiro','Sem Escolaridade',61,59,'Locatario','CLT',25,2752.00,0.00,36304.00,32466.00,-57059.00,0,0.00,0,0.00,525
'acima de 60',0,'Solteiro','Sem Escolaridade',50,49,'Locatario','CLT',26,2059.00,0.00,85321.00,32963.00,16563.00,0,0.00,0,0.00,754
'26 a 40',3,'Solteiro','Sem Escolaridade',27,54,'Locatario','CLT',13,1518.00,0.00,66921.00,47006.00,-831.00,0,0.00,0,0.00,594
'acima de 60',2,'Solteiro','Sem Escolaridade',77,41,'Locatario','CLT',65,1518.00,0.00,25057.00,16725.00,0.00,0,0.00,0,0.00,574
'acima de 60',4,'Casado','Ensino Médio Incompleto',59,44,'Locatario','Autonomo',26,3239.00,0.00,62789.00,42078.00,31162.00,0,1070.72,0,46789.66,626
'até 25',4,'Solteiro','Sem Escolaridade',20,59,'Locatario','CLT',3,2244.00,0.00,81873.00,15931.00,0.00,0,0.00,0,0.00,538
'acima de 60',1,'Solteiro','Sem Escolaridade',36,43,'Locatario','CLT',13,1518.00,0.00,49221.00,15053.00,0.00,0,0.00,0,0.00,574
'acima de 60',0,'Solteiro','Sem Escolaridade',75,56,'Locatario','CLT',64,2063.00,0.00,75199.00,18200.00,-25896.00,0,0.00,0,0.00,643
'41 a 60',2,'Solteiro','Sem Escolaridade',22,37,'Locatario','CLT',33,1839.00,0.00,80505.00,60552.00,0.00,0,0.00,0,0.00,657
'41 a 60',4,'Solteiro','Sem Escolaridade',41,49,'Locatario','CLT',8,2214.00,36052.00,738041.00,436411.00,-123659.00,0,0.00,0,0.00,630
'acima de 60',2,'Solteiro','Ensino Médio Incompleto',62,48,'Proprietario','Autonomo',44,1518.00,0.00,29992.00,29437.00,7096.00,0,0.00,0,0.00,668
'41 a 60',2,'Solteiro','Sem Escolaridade',29,42,'Locatario','CLT',28,2451.00,0.00,73656.00,59360.00,0.00,0,0.00,0,0.00,596
'até 25',0,'Solteiro','Doutorado',15,36,'Locatario','PJ',0,2512.00,0.00,29309.00,5423.00,287.00,0,555.61,0,40550.00,530
'41 a 60',2,'Solteiro','Sem Escolaridade',31,44,'Locatario','CLT',6,2399.00,0.00,88703.00,35843.00,-5548.00,0,0.00,0,0.00,571
'até 25',3,'Solteiro','Sem Escolaridade',20,48,'Locatario','CLT',2,1847.00,325528.00,434471.00,425286.00,0.00,0,106873.21,0,852132.14,519
'acima de 60',3,'Viuvo','Sem Escolaridade',39,49,'Locatario','Autonomo',47,1518.00,0.00,49440.00,44583.00,22174.00,0,0.00,0,0.00,525
'acima de 60',4,'Solteiro','Sem Escolaridade',88,37,'Locatario','CLT',65,9687.00,276272.00,451846.00,373628.00,135245.00,1,718.48,52,7322.86,813
'26 a 40',0,'Solteiro','Sem Escolaridade',11,47,'Locatario','CLT',8,1518.00,0.00,84026.00,10946.00,0.00,0,0.00,0,0.00,679
'acima de 60',4,'Solteiro','Técnico',70,54,'Proprietario','Autonomo',53,1922.00,0.00,96402.00,74583.00,2720.00,1,6936.20,54,189850.00,570
'acima de 60',2,'Solteiro','Superior Completo',76,36,'Proprietario','PJ',28,2543.00,0.00,80550.00,29810.00,0.00,0,0.00,0,0.00,782
'acima de 60',1,'Solteiro','Mestrado',90,62,'Proprietario','PJ',72,3438.00,116069.00,149390.00,74165.00,-570694.00,1,12257.30,43,270843.34,628
'26 a 40',4,'Solteiro','Pós-graduação',29,56,'Locatario','PJ',13,1518.00,0.00,46285.00,35535.00,0.00,0,243.10,0,8333.25,559
'acima de 60',3,'Solteiro','Sem Escolaridade',67,44,'Locatario','CLT',45,1518.00,0.00,43621.00,22111.00,0.00,0,0.00,0,0.00,564
'acima de 60',4,'Solteiro','Ensino Médio Incompleto',2,41,'Proprietario','CLT',28,2240.00,0.00,56795.00,9948.00,-2340.00,0,0.00,0,0.00,707
'26 a 40',2,'Solteiro','Sem Escolaridade',11,43,'Locatario','CLT',8,2286.00,0.00,66341.00,30257.00,0.00,0,0.00,0,0.00,643
'acima de 60',1,'Solteiro','Ensino Médio Incompleto',81,43,'Proprietario','PJ',62,2654.00,0.00,46631.00,3506.00,0.00,0,0.00,0,0.00,583
'26 a 40',4,'Casado','Ensino Médio Completo',37,61,'Locatario','PJ',21,1518.00,0.00,80151.00,46333.00,-4537.00,0,439.85,0,28097.62,532
'acima de 60',4,'Casado','Ensino Fundamental Incompleto',59,62,'Proprietario','PJ',62,1518.00,0.00,124285.00,49329.00,7480.00,0,0.00,0,0.00,664
'até 25',2,'Solteiro','Sem Escolaridade',17,51,'Locatario','CLT',2,8752.00,44888.00,603374.00,330422.00,-155444.00,0,19009.09,0,38018.18,576
'acima de 60',3,'Viuvo','Ensino Médio Completo',39,37,'Proprietario','CLT',38,1996.00,33432.00,668702.00,138134.00,0.00,0,178.97,0,4159.55,823
'até 25',1,'Casado','Mestrado',19,41,'Proprietario','Autonomo',4,1518.00,0.00,23008.00,3490.00,-6150.00,0,0.00,0,0.00,612
'acima de 60',4,'Casado','Sem Escolaridade',46,46,'Proprietario','PJ',71,1518.00,0.00,92118.00,60667.00,4251.00,0,215.18,0,11300.00,677
'41 a 60',2,'Casado','Ensino Fundamental Incompleto',42,47,'Locatario','Autonomo',24,1518.00,0.00,37530.00,28487.00,7735.00,1,13820.66,17,713087.30,248
'26 a 40',3,'Solteiro','Sem Escolaridade',33,54,'Locatario','CLT',12,1518.00,0.00,67008.00,43673.00,6764.00,1,1774.76,46,85265.14,446
'41 a 60',1,'Solteiro','Sem Escolaridade',58,49,'Locatario','CLT',36,2777.00,0.00,74071.00,40443.00,-20826.00,0,4335.53,0,83500.00,433
'26 a 40',4,'Solteiro','Sem Escolaridade',2,49,'Locatario','CLT',8,3277.00,0.00,79878.00,23567.00,2408.00,0,0.00,0,0.00,785
'26 a 40',2,'Casado','Sem Escolaridade',14,43,'Proprietario','Autonomo',8,1518.00,0.00,54154.00,40892.00,0.00,0,0.00,0,0.00,630
'acima de 60',1,'Solteiro','Ensino Fundamental Incompleto',71,43,'Locatario','CLT',36,1518.00,0.00,87701.00,45438.00,0.00,0,261.67,0,11391.06,592
'até 25',2,'Solteiro','Sem Escolaridade',20,51,'Locatario','CLT',0,2333.00,0.00,47400.00,3756.00,1257.00,0,0.00,0,0.00,399
'41 a 60',0,'Viuvo','Sem Escolaridade',25,49,'Locatario','PJ',24,1586.00,0.00,76842.00,48774.00,7937.00,0,0.00,0,0.00,572
'acima de 60',0,'Solteiro','Técnico',70,51,'Proprietario','Autonomo',6,1857.00,0.00,41531.00,25230.00,-31683.00,0,0.00,0,0.00,666
'26 a 40',1,'Viuvo','Técnico',12,46,'Locatario','Autonomo',11,1930.00,0.00,38114.00,12500.00,3952.00,0,0.00,0,0.00,641
'acima de 60',2,'Solteiro','Sem Escolaridade',85,59,'Locatario','CLT',63,3441.00,0.00,110243.00,63590.00,0.00,1,2936.43,62,86141.18,478
'26 a 40',1,'Viuvo','Doutorado',38,42,'Proprietario','Autonomo',6,1763.00,0.00,117078.00,68618.00,3025.00,1,556.60,7,44666.67,557
'41 a 60',2,'Solteiro','Sem Escolaridade',24,41,'Locatario','CLT',36,1518.00,0.00,89137.00,7494.00,2714.00,1,2838.24,47,8088.24,471
'acima de 60',1,'Viuvo','Mestrado',88,49,'Proprietario','Autonomo',35,1518.00,0.00,13933.00,11314.00,-35726.00,0,0.00,0,0.00,611
'acima de 60',2,'Solteiro','Sem Escolaridade',8,49,'Locatario','CLT',63,2084.00,0.00,125722.00,42012.00,21382.00,1,4860.79,71,110825.84,495
'acima de 60',2,'Solteiro','Sem Escolaridade',74,36,'Locatario','CLT',21,1518.00,0.00,55162.00,12848.00,0.00,0,0.00,0,0.00,701
'41 a 60',1,'Viuvo','Ensino Médio Incompleto',24,47,'Locatario','CLT',20,1518.00,0.00,20855.00,14187.00,0.00,0,0.00,0,0.00,464
'26 a 40',1,'Solteiro','Sem Escolaridade',11,59,'Locatario','CLT',12,3401.00,0.00,80655.00,14354.00,0.00,1,10318.55,32,625881.63,453
'41 a 60',0,'Solteiro','Pós-graduação',59,41,'Proprietario','PJ',41,2412.00,0.00,99103.00,54059.00,0.00,0,0.00,0,0.00,717
'acima de 60',3,'Solteiro','Sem Escolaridade',11,56,'Locatario','CLT',51,1595.00,0.00,44432.00,43400.00,0.00,1,17030.64,22,522937.50,270
'acima de 60',1,'Casado','Técnico',59,37,'Proprietario','CLT',20,2316.00,0.00,70349.00,60413.00,0.00,0,0.00,0,0.00,864
'acima de 60',3,'Casado','Técnico',87,41,'Proprietario','Autonomo',61,1518.00,0.00,113632.00,21457.00,829.00,0,0.00,0,0.00,717
'41 a 60',4,'Solteiro','Superior Incompleto',48,42,'Locatario','CLT',30,1683.00,0.00,71612.00,21870.00,0.00,0,0.00,0,0.00,663
'acima de 60',0,'Viuvo','Mestrado',20,49,'Locatario','PJ',40,1518.00,0.00,79884.00,1608.00,-68311.00,1,20181.45,87,185170.69,335
'acima de 60',4,'Solteiro','Sem Escolaridade',70,41,'Locatario','CLT',32,2815.00,0.00,76949.00,10155.00,0.00,0,47855.07,0,872657.07,502
'26 a 40',3,'Solteiro','Sem Escolaridade',11,49,'Locatario','CLT',17,16927.00,212464.00,631750.00,103028.00,-183207.00,0,47136.36,0,113000.00,660
'41 a 60',4,'Solteiro','Sem Escolaridade',12,59,'Locatario','CLT',27,2426.00,0.00,33311.00,14874.00,3490.00,1,547.62,15,32751.22,370
'acima de 60',2,'Solteiro','Sem Escolaridade',88,61,'Locatario','CLT',64,1709.00,0.00,90016.00,82482.00,7926.00,0,0.00,0,0.00,709
'acima de 60',3,'Solteiro','Ensino Fundamental Completo',89,61,'Proprietario','PJ',74,12067.00,143701.00,326276.00,218675.00,-72264.00,0,600.13,0,9842.11,749
'acima de 60',2,'Solteiro','Doutorado',59,49,'Proprietario','Autonomo',38,1832.00,0.00,78563.00,51222.00,17108.00,0,0.00,0,0.00,827
'26 a 40',4,'Solteiro','Sem Escolaridade',6,47,'Locatario','CLT',22,2873.00,0.00,38945.00,25312.00,0.00,1,978.91,17,33642.89,309
'acima de 60',1,'Casado','Sem Escolaridade',11,51,'Locatario','CLT',24,1652.00,0.00,60636.00,16423.00,0.00,0,0.00,0,0.00,604
'acima de 60',1,'Viuvo','Superior Incompleto',48,44,'Locatario','PJ',18,14157.00,31290.00,569631.00,147097.00,0.00,0,0.00,0,0.00,774
'acima de 60',4,'Viuvo','Ensino Médio Incompleto',81,49,'Locatario','PJ',63,2860.00,0.00,14776.00,13892.00,1532.00,1,16290.20,8,239393.94,280
'acima de 60',0,'Solteiro','Sem Escolaridade',80,54,'Locatario','CLT',66,3026.00,0.00,22842.00,18575.00,-12453.00,1,29213.58,71,445222.86,426
'41 a 60',0,'Solteiro','Sem Escolaridade',39,50,'Locatario','CLT',1,2259.00,0.00,12295.00,10951.00,1432.00,0,0.00,0,0.00,466
'acima de 60',3,'Solteiro','Sem Escolaridade',66,41,'Locatario','CLT',48,8194.00,3868.00,529108.00,101531.00,0.00,0,0.00,0,0.00,735
'acima de 60',3,'Solteiro','Sem Escolaridade',37,59,'Proprietario','Autonomo',24,2135.00,0.00,106657.00,58312.00,8384.00,0,0.00,0,0.00,689
'acima de 60',2,'Viuvo','Técnico',80,54,'Locatario','CLT',28,8905.00,66547.00,199459.00,60201.00,0.00,0,0.00,0,0.00,796
'acima de 60',4,'Solteiro','Sem Escolaridade',28,43,'Locatario','CLT',20,1518.00,0.00,43839.00,27701.00,2622.00,0,0.00,0,0.00,649
'acima de 60',0,'Solteiro','Sem Escolaridade',77,44,'Locatario','CLT',57,3340.00,0.00,51098.00,4047.00,0.00,0,0.00,0,0.00,751
'acima de 60',2,'Solteiro','Sem Escolaridade',70,54,'Locatario','CLT',33,2062.00,0.00,93875.00,9809.00,5554.00,1,636.24,21,10120.00,456
'26 a 40',3,'Solteiro','Doutorado',31,42,'Locatario','CLT',13,1582.00,0.00,39556.00,21205.00,2136.00,0,0.00,0,0.00,744
'26 a 40',0,'Viuvo','Superior Completo',33,41,'Proprietario','CLT',15,1980.00,0.00,30246.00,18610.00,-34234.00,0,0.00,0,0.00,712
'26 a 40',4,'Solteiro','Sem Escolaridade',36,43,'Locatario','CLT',13,2915.00,0.00,3834.00,577.00,91.00,0,40.48,0,2240.00,491
'41 a 60',0,'Solteiro','Sem Escolaridade',7,44,'Locatario','CLT',4,12709.00,259975.00,186765.00,2211.00,-39129.00,1,50106.48,39,715437.07,511
'41 a 60',1,'Solteiro','Ensino Médio Completo',42,49,'Locatario','PJ',3,1518.00,0.00,7310.00,2658.00,893.00,0,43952.38,0,811000.00,334
'41 a 60',2,'Solteiro','Sem Escolaridade',25,54,'Locatario','CLT',27,1518.00,0.00,90286.00,12315.00,-4334.00,0,0.00,0,0.00,529
'41 a 60',2,'Solteiro','Sem Escolaridade',44,36,'Locatario','CLT',37,1608.00,0.00,24999.00,22169.00,0.00,0,3093.82,0,197818.81,425
'acima de 60',0,'Casado','Ensino Fundamental Incompleto',73,41,'Locatario','PJ',44,2835.00,0.00,59798.00,34451.00,0.00,0,0.00,0,0.00,614
'acima de 60',3,'Solteiro','Sem Escolaridade',37,41,'Locatario','CLT',42,2264.00,0.00,43834.00,26990.00,1599.00,1,31.35,11,396.61,547
'41 a 60',4,'Solteiro','Ensino Fundamental Completo',14,41,'Locatario','Autonomo',27,7630.00,367451.00,791326.00,487957.00,260336.00,1,300.32,40,10182.73,602
'acima de 60',0,'Solteiro','Mestrado',40,49,'Locatario','Autonomo',14,3292.00,0.00,61552.00,22917.00,5705.00,0,0.00,0,0.00,850
'acima de 60',2,'Solteiro','Sem Escolaridade',75,56,'Locatario','CLT',57,2277.00,0.00,82395.00,67484.00,12577.00,0,0.00,0,0.00,709
'41 a 60',1,'Solteiro','Sem Escolaridade',39,47,'Locatario','CLT',13,2432.00,0.00,142481.00,74982.00,26395.00,0,0.00,0,0.00,681
'acima de 60',4,'Casado','Superior Completo',46,41,'Locatario','Autonomo',80,1518.00,0.00,59389.00,37752.00,-9571.00,0,13513.63,0,974300.00,534
'26 a 40',4,'Solteiro','Sem Escolaridade',25,49,'Locatario','CLT',12,3051.00,277034.00,140468.00,61025.00,3067.00,1,1030.33,19,88454.96,644
'acima de 60',1,'Viuvo','Mestrado',64,46,'Locatario','PJ',17,3184.00,0.00,48725.00,20644.00,0.00,0,0.00,0,0.00,637
'41 a 60',4,'Solteiro','Sem Escolaridade',52,37,'Locatario','CLT',4,13428.00,50882.00,315612.00,64536.00,8881.00,1,8938.58,62,442578.37,633
'41 a 60',2,'Casado','Mestrado',58,41,'Proprietario','CLT',40,3346.00,78028.00,243503.00,115837.00,12891.00,1,8131.65,16,459223.99,738
'26 a 40',0,'Viuvo','Ensino Médio Completo',33,51,'Locatario','PJ',21,1518.00,0.00,71253.00,61987.00,-47215.00,1,8559.39,45,276568.28,351
'acima de 60',2,'Casado','Mestrado',76,43,'Locatario','PJ',42,6398.00,206148.00,158007.00,141928.00,0.00,0,0.00,0,0.00,817
'até 25',1,'Casado','Mestrado',18,48,'Proprietario','Autonomo',2,2991.00,0.00,100773.00,27563.00,11686.00,1,670.21,51,11189.14,614
'até 25',0,'Solteiro','Sem Escolaridade',17,47,'Locatario','CLT',5,4634.00,191065.00,855372.00,490062.00,412247.00,0,0.00,0,0.00,840
'acima de 60',4,'Solteiro','Técnico',83,54,'Proprietario','CLT',45,3068.00,0.00,67426.00,6093.00,-7033.00,0,0.00,0,0.00,812
'41 a 60',2,'Solteiro','Sem Escolaridade',47,54,'Locatario','CLT',36,1518.00,0.00,13384.00,7719.00,0.00,0,0.00,0,0.00,456
'41 a 60',4,'Solteiro','Sem Escolaridade',37,56,'Locatario','CLT',2,1518.00,0.00,61093.00,33293.00,-4098.00,0,0.00,0,0.00,518
'26 a 40',3,'Solteiro','Sem Escolaridade',0,50,'Locatario','CLT',19,2331.00,0.00,91678.00,23516.00,0.00,0,0.00,0,0.00,578
'41 a 60',0,'Solteiro','Sem Escolaridade',0,54,'Locatario','CLT',26,2338.00,0.00,67649.00,35460.00,0.00,0,0.00,0,0.00,511
'acima de 60',1,'Solteiro','Sem Escolaridade',89,41,'Locatario','CLT',33,2095.00,0.00,107885.00,54902.00,0.00,1,58128.05,57,459390.24,426
'acima de 60',1,'Solteiro','Sem Escolaridade',18,61,'Locatario','CLT',45,2142.00,0.00,83878.00,27338.00,-54615.00,1,13734.80,30,596800.18,362
'acima de 60',0,'Solteiro','Superior Incompleto',49,48,'Proprietario','CLT',76,1847.00,0.00,25432.00,16721.00,0.00,0,0.00,0,0.00,757
'até 25',2,'Solteiro','Sem Escolaridade',11,54,'Locatario','CLT',1,1518.00,0.00,153386.00,72163.00,0.00,1,158.08,64,11100.00,327
'26 a 40',2,'Solteiro','Sem Escolaridade',34,49,'Locatario','CLT',19,2656.00,0.00,69506.00,33374.00,-25796.00,1,6162.34,40,95312.84,401
'acima de 60',0,'Viuvo','Superior Incompleto',72,46,'Locatario','Autonomo',54,1518.00,0.00,68181.00,46560.00,3460.00,0,0.00,0,0.00,739
'41 a 60',4,'Casado','Superior Completo',53,54,'Proprietario','CLT',23,1518.00,0.00,64026.00,34222.00,235.00,1,29280.54,38,568715.49,451
'41 a 60',0,'Solteiro','Ensino Médio Incompleto',35,46,'Locatario','Autonomo',38,2151.00,0.00,71475.00,1472.00,0.00,0,0.00,0,0.00,488
'até 25',3,'Solteiro','Sem Escolaridade',21,43,'Locatario','CLT',3,1518.00,0.00,67743.00,34170.00,3364.00,0,264.85,0,1164.11,665
'acima de 60',3,'Solteiro','Sem Escolaridade',66,41,'Locatario','CLT',33,2783.00,0.00,119788.00,91783.00,-12058.00,0,0.00,0,0.00,658
'acima de 60',4,'Solteiro','Sem Escolaridade',56,36,'Locatario','CLT',65,2209.00,0.00,56779.00,469.00,322.00,0,0.00,0,0.00,626
'acima de 60',0,'Solteiro','Sem Escolaridade',98,59,'Locatario','CLT',80,2301.00,0.00,95025.00,26851.00,0.00,0,0.00,0,0.00,643
'41 a 60',2,'Solteiro','Sem Escolaridade',24,41,'Locatario','CLT',24,5162.00,392871.00,235403.00,168131.00,-480672.00,1,10630.29,3,564072.62,493
'41 a 60',1,'Solteiro','Sem Escolaridade',43,54,'Locatario','CLT',25,6608.00,355387.00,442962.00,313401.00,0.00,0,0.00,0,0.00,679
'acima de 60',0,'Solteiro','Sem Escolaridade',62,59,'Locatario','CLT',41,1518.00,0.00,88997.00,30625.00,5584.00,0,0.00,0,0.00,718
'acima de 60',1,'Casado','Pós-graduação',5,49,'Proprietario','Autonomo',2,13162.00,122719.00,315605.00,290015.00,0.00,0,0.00,0,0.00,862
'acima de 60',0,'Solteiro','Sem Escolaridade',62,49,'Locatario','CLT',69,1518.00,0.00,84222.00,63645.00,8169.00,1,289.68,9,7990.28,689
'41 a 60',2,'Solteiro','Sem Escolaridade',46,47,'Locatario','CLT',28,1518.00,0.00,107521.00,62728.00,-68943.00,0,0.00,0,0.00,596
'26 a 40',1,'Solteiro','Sem Escolaridade',39,48,'Locatario','CLT',7,3112.00,0.00,153377.00,69699.00,0.00,0,0.00,0,0.00,745
'26 a 40',0,'Solteiro','Sem Escolaridade',34,44,'Locatario','CLT',9,2279.00,0.00,115502.00,51945.00,3014.00,0,998.89,0,34110.42,663
'até 25',4,'Solteiro','Sem Escolaridade',18,59,'Locatario','CLT',0,1518.00,0.00,102528.00,54125.00,8035.00,0,0.00,0,0.00,580
